sbd,ten,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
1000001,Oliver,3.6,5,4,,,,2.75,6,8.75
1000002,Olivia,8.4,6.75,7.6,,,,8.5,7.5,8.25
1000003,Jackson,5.8,7.5,5,,,,7.25,5.5,8.75
1000004,Samuel,7.4,7.5,8.6,,,,7.5,6.5,7.5
1000005,Emma,7.2,8.5,9,,,,8,8.5,8.25
1000006,Samuel,6.8,8.5,9.4,,,,7,7.5,9.25
1000007,Charlotte,7.2,6,5,,,,8,7.5,9
1000008,Emily,8,8,8,,,,5.25,7,7
1000009,Aiden,2.6,5.25,,,,,5.25,6.75,
1000010,Grace,8.8,8,7,,,,6.5,6.5,6.75
1000011,James,6.4,7.25,7.6,3.5,8,3,,,
1000012,Ava,6.4,7.5,,,,,4.75,5,8
1000013,Mia,8.2,7.75,6.4,,,,7,7.5,7.75
1000014,James,5.8,5.5,6.4,,,,8.5,8,
1000015,Isabella,8.6,7.25,9.6,8.25,3.25,4.25,,,
1000016,Daniel,7.8,5.75,8.4,4.25,8,4.75,,,
1000017,Emily,8.6,6.25,7,7,3.5,3.75,,,
1000018,Charlotte,6.2,8.25,6.6,,,,6.75,6.5,8.25
1000019,Amelia,6.8,7.5,,,,,7.25,6.25,8
1000020,Liam,,6.75,,,,,8.5,8,
1000021,Ava,8,9,,,,,7,6.25,8.75
1000022,Sophia,7.8,8,7.6,,,,7.75,6.5,9.25
1000023,Sofia,6.8,6,6.8,2.5,5.5,3,,,
1000024,Ava,8.6,6.5,9.8,7.75,8.5,6.75,,,
1000025,James,7.2,5.5,5.8,3,6.5,3.75,,,
1000026,Emma,7,6,9.8,6.5,2.25,3,,,
1000027,Samuel,7.6,5.75,4.8,7.25,6.5,6.25,,,
1000028,Charlotte,8.6,7,8,4.75,8.75,4.5,,,
1000029,James,8.4,6.5,9.8,,,,5.25,9,6.25
1000030,Mia,8.6,7.5,7.6,6.25,7.75,3.75,,,
1000031,Aiden,7,7.75,8.8,,,,6.25,5,9
1000032,Lucas,4,7,2.2,,,,4.5,5,5.5
1000033,Amelia,6.6,6.5,5.6,,,,6.5,5.75,7
1000034,Emily,8.2,7,8.4,,,,7,6.25,8
1000035,Oliver,7.4,6.25,7.4,,,,4,6,8
1000036,Lucas,7.6,7,8.6,,,,5.75,6,8
1000037,Sofia,7.6,6.5,7.2,6,4.75,4.5,,,
1000038,Liam,6,6,5.6,,,,8,6.25,7.25
1000039,Noah,7.8,8.75,6.6,,,,6.25,8.5,8.25
1000040,Benjamin,8,8.25,8.8,,,,8,5.5,7.75
1000041,Aiden,7.4,8,7.2,,,,6,6,7.5
1000042,Charlotte,5.8,6.5,7.2,,,,7.25,4.75,7.25
1000043,Jackson,7.2,7.25,4.8,4.5,8,3,,,
1000044,Sofia,2.6,3,,,,,2,4.5,
1000045,Jackson,6,7,3.4,,,,6.5,5.5,7.5
1000046,Grace,8,6.25,4.6,7.25,5.5,4.75,,,
1000047,Olivia,7.2,7.75,7.6,,,,7.25,7,7.5
1000048,Scarlett,8,8.5,9.4,,,,8,6.25,9
